"","Year","Site","Observed_mean","Observed_median","Observed_sd","Chao1_mean","Chao1_median","Chao1_sd","Shannon_mean","Shannon_median","Shannon_sd","Simpson_mean","Simpson_median","Simpson_sd"
"1","2020","Directors_Bay",44,44,2.82842712474619,49.125,49.125,7.24784450716211,1.95375040373667,1.95375040373667,0.0925799414851651,0.78518825,0.78518825,0.0331396199604794
"2","2020","Mambo_Beach",50.6666666666667,50,6.02771377334171,59.2916666666667,65,10.1044029182002,1.89295472184126,1.91791107657426,0.182614158782687,0.7227565,0.732628,0.0339337770480974
"3","2020","Holiday_Beach",76.6666666666667,75,2.88675134594813,87.3958333333333,87.75,7.22526311516289,2.46937488907489,2.51604070679152,0.280677968874898,0.806922833333333,0.81384,0.0604453242698164
"4","2020","Grote_Knip",92,92,25.4558441227157,111.117408906883,111.117408906883,45.3120896057517,2.56517333420803,2.56517333420803,0.160384457355131,0.793376250000001,0.793376250000001,0.0830564089647799
"5","2020","Playa_Jeremy",72.5,72.5,14.8492424049175,84.0729166666667,84.0729166666667,20.8449186537284,2.17148380636753,2.17148380636753,0.340302291279412,0.690968,0.690968,0.0928593838257602
"6","2020","Cas_Abou",85,85,15.556349186104,108.315384615385,108.315384615385,35.4750032838359,2.72853954141827,2.72853954141827,0.0047034916483496,0.85514425,0.85514425,0.0261781536996978
"7","2020","Porto_Marie",111,111,21.2132034355964,132.818181818182,132.818181818182,30.8555686335948,3.15236777371191,3.15236777371191,0.245023355536356,0.89737625,0.89737625,0.0250184985785519
"8","2020","Coral_Estate",85,85,18.3847763108502,92.4318181818182,92.4318181818182,18.8668945707501,2.65917405436768,2.65917405436768,0.272591189078513,0.80985675,0.80985675,0.00667049182032344
"9","2021","Directors_Bay",108.333333333333,111,4.61880215351701,133.78954248366,133.235294117647,4.02869624548949,3.01514124600903,3.05676736624579,0.0834656437464106,0.869618833333333,0.873978,0.0118700732762413
"10","2021","Mambo_Beach",61,51,19.0787840283389,71.537037037037,61.1111111111111,24.4762629614831,2.03441301878963,1.99237706566726,0.298816877599111,0.740106,0.7440985,0.0551247930268219
"11","2021","Holiday_Beach",134.333333333333,133,21.0317220724631,159.755336617406,158.551724137931,13.3977527054608,3.33999730760589,3.1378428864858,0.384976880102178,0.904806166666667,0.889416,0.0303764413087399
"12","2021","Grote_Knip",104.333333333333,103,12.0554275466834,123.033535762483,132.076923076923,18.6826451069732,3.05637929135657,2.89865808965691,0.297755986143736,0.880901,0.872111,0.0392213229665959
"13","2021","Playa_Jeremy",108.666666666667,107,5.68624070307733,128.715277777778,128.083333333333,15.041209788383,3.18128028783518,3.22142467649371,0.113646214551284,0.895747333333333,0.9089485,0.023815734527479
"14","2021","Cas_Abou",114,110,8.71779788708135,132.264285714286,133,14.2606691173125,3.26914832249715,3.291457147791,0.0535733448409829,0.913785833333334,0.913671,0.0061725511811027
"15","2021","Porto_Marie",127.333333333333,111,33.6204302966713,143.9530651341,119.75,43.5913560386528,3.41222122349205,3.35199534090196,0.262877206742934,0.921754166666667,0.9251915,0.0142278956396698
"16","2021","Coral_Estate",136,108,55.5697759577992,148.740574841359,115.157894736842,62.6868476955386,3.57844195985036,3.3974178856081,0.374351353904013,0.935627333333333,0.9353565,0.0149230933315894
"17","2022","Directors_Bay",102.8,102,9.85900603509299,110.57072036151,108.555555555556,10.864188881849,3.06286484304978,2.97967675252781,0.188016538311622,0.863246,0.850134,0.0251964945801001
"18","2022","Mambo_Beach",77,79,12.4899959967968,89.7820512820513,92.1474358974359,13.2274850160934,2.42980116197675,2.49752378585967,0.274881525131083,0.77187675,0.7627825,0.0387738488535332
"19","2022","Holiday_Beach",135.333333333333,135.5,5.20256347070045,156.742082193169,160.082015810277,11.5716845436643,3.48864562574451,3.45536076997721,0.125254923258941,0.915091583333334,0.910116,0.0181234708911307
"20","2022","Grote_Knip",130.333333333333,133,15.4229266569827,172.284558339146,178.521739130435,35.6905626083238,3.12465364946725,3.1191694494712,0.153041916526512,0.85495675,0.86036775,0.0347811534264611
"21","2022","Playa_Jeremy",127.166666666667,125.5,18.0157338642273,168.275973551303,170.902083333333,32.3677201005806,3.28477073908492,3.26781549285828,0.127112200464004,0.894915666666667,0.89211275,0.0184973140635789
"22","2022","Cas_Abou",115.5,110,23.9478600296561,159.71994949495,151.241666666667,49.7897864996901,3.14936967804065,3.17654497620795,0.203339595482675,0.888910666666667,0.89552975,0.029986421399805
"23","2022","Porto_Marie",104.333333333333,106,10.4051269414009,121.783054922374,122.582633053221,10.9862253457737,3.04838237782069,3.04286483259141,0.131466017600082,0.868449833333333,0.87827825,0.0262420145466517
"24","2022","Coral_Estate",104,105.5,6.29285308902091,119.527635327635,120.986111111111,11.0889621175067,3.01105105957411,2.9732493354663,0.135160470624516,0.8504605,0.84738925,0.0264587136667679
"25","2023","Directors_Bay",122.833333333333,116.5,27.0955100831608,180.52801487728,172.9375,59.717834947443,3.217319895357,3.16882472541299,0.138117778761194,0.907560666666667,0.9073615,0.010449613948212
"26","2023","Mambo_Beach",109,105.5,33.3886208160804,157.146904904306,136.325657894737,51.9582917526136,2.37723169284589,2.38088341702634,0.404496536979442,0.770465,0.7915075,0.0546911776075436
"27","2023","Holiday_Beach",181,160.5,69.5902291992202,261.413888888889,264,100.108248558829,3.61892868670192,3.55233627242008,0.502677283000566,0.91857575,0.92314875,0.0429868984816888
"28","2023","Grote_Knip",104.5,100,20.7243817760627,142.919024994613,129.801470588235,30.1667274086753,2.67567273936692,2.61209432328557,0.423636216299811,0.791955583333334,0.77837525,0.097504832610192
"29","2023","Playa_Jeremy",110.333333333333,111.5,13.2463831541544,145.414581807082,147.167142857143,18.0566312726777,3.11604997459364,3.25627422413471,0.338430795313145,0.887212583333333,0.91537,0.0532088401005106
"30","2023","Cas_Abou",104,103.5,14.1138230115019,142.274572649573,138.333333333333,31.2313840453216,2.84492960311244,2.99952929439679,0.490826209905028,0.835716333333334,0.88702975,0.110134536511789
"31","2023","Porto_Marie",110,116,21.2790977252326,149.241674368803,143.71130952381,48.9193060440322,2.66941177213431,2.6563348507691,0.49017917057944,0.781799083333334,0.799050250000001,0.137645807428855
"32","2023","Coral_Estate",115.333333333333,119.5,10.2502032500174,175.881364395838,167.12969924812,33.5138258007748,2.77632867627747,2.92190921540886,0.521352991481288,0.800468250000001,0.8562955,0.142402041248624
